id,name,description,tags
1,"Apple MacBook Air 13 (M3, 2024)","Apple M3 (8-core CPU, 10-core GPU), 16GB RAM, 512GB SSD, 13.6"" Liquid Retina, ~1.24kg, up to ~18h battery. Ultraportable macOS for everyday productivity.",ultrabook;lightweight;long-battery;macos;student;business
2,"Apple MacBook Air 15 (M3, 2024)","Apple M3 (8-core CPU, 10-core GPU), 16GB RAM, 512GB SSD, 15.3"" Liquid Retina, ~1.51kg, long battery life. Larger screen Air for multitasking.",ultrabook;15-inch;macos;long-battery;student;business
3,Apple MacBook Pro 14 (M3 Pro),"Apple M3 Pro, 18GB RAM, 1TB SSD, 14.2"" Liquid Retina XDR, excellent performance for Xcode, creative work; strong battery, quiet.",creator;macos;video-editing;photo-editing;software-dev;premium
4,Apple MacBook Pro 16 (M3 Max),"Apple M3 Max, 36GB RAM, 1TB SSD, 16.2"" Liquid Retina XDR, workstation-class power for heavy creative workloads; great thermals & battery.",workstation;creator;macos;video-editing;3d;premium
5,Dell XPS 13 (9340),"Intel Core Ultra 7, 32GB RAM, 1TB SSD, 13.4"" OLED, ~1.19kg, premium build, compact footprint, Thunderbolt 4.",ultrabook;windows;lightweight;oled;business;travel
6,Dell XPS 14 (9440),"Intel Core Ultra 7, up to RTX 4050 Laptop GPU, 32GB RAM, 1TB SSD, 14.5"" OLED option; strong all-rounder for creators.",creator;windows;oled;business;portable
7,Dell XPS 16 (9640),"Intel Core Ultra 7, up to RTX 4070 Laptop GPU, 32GB RAM, 1TB SSD, 16.3"" display; sleek large-screen creator laptop.",creator;windows;large-screen;video-editing;photo-editing
8,Dell Latitude 7450,"Intel Core Ultra (vPro options), 16GB-32GB RAM, 512GB-1TB SSD, 14"" display; enterprise features, LTE/5G options, long battery.",business;windows;enterprise;long-battery;lte
9,Dell G15 (2024),"Intel Core i7 / AMD Ryzen 7 options, RTX 4060 Laptop GPU, 16GB RAM, 512GB SSD, 15.6"" 165Hz; value gaming.",gaming;windows;budget;1080p;rtx4060
10,Alienware m16 R2,"Intel Core i9 HX options, up to RTX 4070/4080 Laptop GPU, 32GB RAM, 1TB SSD, 16"" high-refresh; performance gaming with premium chassis.",gaming;windows;high-refresh;performance
11,Lenovo ThinkPad X1 Carbon Gen 12,"Intel Core Ultra 7, 32GB RAM, 1TB SSD, 14"" 2.8K/OLED options, ~1.1kg; legendary keyboard, business security & service.",business;windows;ultrabook;lightweight;oled
12,Lenovo ThinkPad T14s Gen 5,"Intel Core Ultra, 16-32GB RAM, 512GB-1TB SSD, 14""; durable business ultrabook with long battery and ports.",business;windows;ultrabook;long-battery
13,Lenovo Yoga 9i 14 Gen 9,"Intel Core Ultra, 16-32GB RAM, 512GB-1TB SSD, 14"" OLED 2-in-1 with pen; premium convertible for creators and students.",2-in-1;windows;oled;creator;student
14,Lenovo Legion 5 Pro 16 (2024),"AMD Ryzen / Intel Core options, up to RTX 4070 Laptop GPU, 16GB-32GB RAM, 1TB SSD, 16"" 165-240Hz; great thermals for AAA gaming.",gaming;windows;16-inch;rtx4070;high-refresh
15,Lenovo LOQ 15 (2024),"Intel/AMD options with RTX 4050 Laptop GPU, 16GB RAM, 512GB SSD, 15.6"" 144-165Hz; budget gaming entry with solid performance.",gaming;windows;budget;rtx4050;value
16,HP Spectre x360 14 (2024),"Intel Core Ultra 7, 16-32GB RAM, 512GB-1TB SSD, 14"" 2.8K OLED convertible, premium design, long battery.",2-in-1;windows;oled;business;creator;portable
17,HP Envy x360 15,"Intel/AMD options, 16GB RAM, 512GB SSD, 15.6"" OLED options; midrange convertible good for home office & light creation.",2-in-1;windows;midrange;home-office
18,HP EliteBook 840 G11,"Intel Core Ultra (vPro), 16-32GB RAM, 512GB-1TB SSD, 14""; enterprise security, durable chassis, docking & LTE options.",business;windows;enterprise;it-managed
19,HP Omen 16 (2024),"Intel Core i7/i9 or AMD Ryzen, up to RTX 4070 Laptop GPU, 16GB-32GB RAM, 1TB SSD, 16"" 165-240Hz; solid thermal design for gaming.",gaming;windows;rtx4070;high-refresh
20,ASUS ROG Zephyrus G14 (2024),"AMD Ryzen 9 8945HS, up to RTX 4070 Laptop GPU, 32GB RAM, 1TB SSD, 14"" OLED, ~1.5kg; powerful yet portable gaming/creator.",gaming;creator;windows;oled;portable
21,ASUS ROG Strix G16 (2024),"Intel Core i9 HX class, up to RTX 4080 Laptop GPU, 32GB RAM, 1TB SSD, 16"" high-refresh; performance gaming rig.",gaming;windows;high-refresh;performance;rtx4080
